hin_Deva,sat_Olck
"क्योंकि शुरू में अधिकतर डॉक्यूमेंट जर्मन में लिखे जाते थे, तो उससे तुम्हें फायदा होगा।","ᱚᱱᱟ ᱠᱷᱟᱹᱛᱤᱨ ᱰᱷᱮᱨᱜᱟᱱ ᱮᱛᱚᱦᱚᱵ ᱥᱟᱬᱮᱥᱤᱭᱟᱹ ᱱᱚᱛᱷᱤᱠᱚ ᱡᱟᱨᱢᱟᱱ ᱯᱟᱹᱨᱥᱤ ᱛᱮ ᱚᱞ ᱦᱩᱭ ᱞᱮᱱᱟ, ᱱᱚᱶᱟ ᱥᱟᱹᱨᱤᱜᱮ ᱥᱚᱦᱮᱫᱤᱡ ᱦᱩᱭᱩᱜᱼᱟ ᱾"
"इसके अलावा, जर्मनी में आगे की पढ़ाई के बहुत सारे अवसर हैं।","ᱚᱱᱟ ᱪᱷᱟᱰᱟ, ᱡᱟᱨᱢᱟᱱᱤ ᱨᱮ ᱟᱨᱦᱚᱸ ᱟᱭᱢᱟ ᱯᱟᱲᱦᱟᱣ ᱫᱟᱣ ᱢᱮᱱᱟᱜᱼᱟ ᱾"
लेकिन अगर तुम टेक्नोलॉजी में जाना चाहती हो तो मुझे लगता है चीनी भाषा बेहतर होगी।,"ᱮᱱᱠᱷᱟᱱ, ᱟᱢ ᱡᱚᱫᱤ ᱦᱚᱨᱟ ᱞᱮᱠᱟᱛᱮ ᱪᱟᱞᱟᱜ ᱥᱟᱱᱟᱢᱮᱭᱟ, ᱤᱧ ᱢᱚᱱᱮᱭᱟ ᱪᱤᱱᱟ ᱯᱟᱹᱨᱥᱤ ᱟᱸᱜᱚᱪ ᱵᱷᱟᱜᱮ ᱦᱩᱭᱩᱜᱼᱟ ᱾"
"जिस तेजी से वे नई टेक्नोलॉजीज़ ला रहे हैं, तुम्हें उनके कदम से कदम मिलाना होगा।",ᱩᱱᱠᱩ ᱡᱟᱦᱟᱸ ᱜᱚᱛᱤ ᱛᱮ ᱞᱟᱜᱟᱱᱠᱟᱹᱨᱤ ᱠᱚ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟ ᱚᱱᱟ ᱥᱟᱵ ᱞᱟᱹᱜᱤᱫ ᱟᱢᱟᱜ ᱱᱚᱶᱟ ᱞᱟᱹᱠᱛᱤ ᱦᱩᱭᱩᱜᱼᱟ ᱾
मुझे लगने लगा है कि इससे मुझे भविष्य में चुनने में बहुत मदद मिलेगी।,ᱤᱧ ᱴᱷᱤᱠᱟᱹᱭᱟ ᱡᱮ ᱱᱚᱶᱟ ᱟᱜᱟᱢ ᱨᱮ ᱵᱟᱪᱷᱱᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱤᱧᱟᱹᱜ ᱞᱟᱹᱜᱤᱫ ᱥᱚᱦᱮᱫ ᱦᱩᱭᱩᱜᱼᱟ ᱾
मेरे सभी प्यारे स्टूडेंट्स को गुड मॉर्निंग।,ᱥᱟᱹᱜᱩᱱ ᱥᱮᱛᱟᱜ ᱤᱧᱨᱮᱱ ᱥᱟᱱᱟᱢ ᱫᱩᱞᱟᱹᱲᱤᱭᱟᱹ ᱯᱟᱹᱴᱷᱣᱟᱹᱠᱚ ᱾
उम्मीद है कि आप सब ठीक हैं।,ᱟᱥᱚᱜ ᱠᱟᱱᱟᱹᱧ ᱟᱯᱮ ᱥᱟᱱᱟᱢ ᱠᱚᱜᱮ ᱱᱟᱯᱟᱭ ᱢᱮᱱᱟᱜ ᱯᱮᱭᱟ
क्या आपको याद है कि कैसे हमने अपने पिछली क्लास में नदियों के बारे में बातें करना शुरू किया था?,ᱫᱤᱥᱟᱹᱭᱮᱫᱟᱯᱮ ᱟᱵᱳᱣᱟᱜ ᱢᱩᱪᱟᱹᱫ ᱠᱞᱟᱥᱨᱮ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱟᱵᱳ ᱱᱟᱹᱭ ᱤᱫᱤ ᱠᱟᱛᱮᱜ ᱠᱟᱛᱷᱟᱵᱚ ᱮᱛᱚᱦᱚᱵ ᱞᱮᱫᱟ ?
"क्या आप मुझे बता सकते हैं कि आप हमारे देश की कुछ प्रसिद्ध नदियों के बारे में, उनकी विशेषताओं के साथ आप क्या जानते हैं, ?","ᱟᱢ ᱪᱮᱫ ᱤᱧ ᱮᱢ ᱞᱟᱹᱭ ᱫᱟᱲᱮᱭᱟᱧᱟ ᱟᱵᱳ ᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱠᱤᱪᱷᱤ ᱧᱩᱢ ᱩᱨᱩᱢ ᱵᱟᱹᱭ ᱵᱟᱨᱮᱛᱮ ᱡᱟᱦᱟᱸ ᱟᱢᱮᱢ ᱵᱟᱲᱟᱭᱟ, ᱮᱴᱟᱜ ᱵᱤᱥᱮᱥᱛᱟ ᱥᱟᱶᱛᱮ ?"
"गुड मॉर्निंग, मिस ली!","ᱥᱟᱹᱜᱩᱱ ᱥᱮᱛᱟᱜ, ᱢᱤᱥ ᱞᱤᱭᱟ !"
मुझे पिछली क्लास में बताई गई कुछ नदियाँ याद हैं।,ᱤᱧ ᱫᱤᱥᱟᱹᱭᱮᱫᱟ ᱢᱩᱪᱟᱹᱫ ᱠᱞᱟᱥ ᱨᱮᱭᱟᱜ ᱠᱤᱩᱪᱷᱤ ᱱᱟᱹᱭ ᱵᱟᱨᱮᱛᱮ ᱾
"हमने गंगा नदी से शुरुआत की थी, जिसे गैंजीज़ भी कहा जाता है, जो देश की सबसे लंबी नदी है, इसकी बहुत धार्मिक महत्ता है लेकिन इसके साथ ही, यह सबसे प्रदूषित नदियों में से एक है।","ᱟᱵᱳ ᱜᱟᱝᱜᱟ ᱱᱟᱹᱭ ᱛᱮᱵᱚᱱ ᱮᱛᱚᱦᱚᱵ ᱞᱮᱫᱟ, ᱡᱟᱦᱟᱸᱫᱚ ᱜᱟᱝᱜᱟ ᱦᱚᱸᱠᱚ ᱢᱮᱛᱟᱜᱼᱟ, ᱡᱟᱦᱟᱸᱫᱚ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱡᱚᱛᱚᱠᱷᱚᱱ ᱡᱮᱞᱮᱧ ᱱᱟᱹᱭ ᱠᱟᱱᱟ, ᱱᱚᱶᱟ ᱨᱮᱭᱟᱜ ᱫᱚ ᱫᱚᱨᱚᱢᱟᱱ ᱛᱮᱛᱮᱫ ᱢᱮᱱᱟᱜᱼᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱤᱱᱟᱹ ᱚᱠᱛᱚᱨᱮᱜᱮ, ᱱᱚᱶᱟᱫᱚ ᱡᱚᱛᱚᱠᱷᱚᱱ ᱵᱟᱹᱲᱛᱤ ᱵᱤᱥᱟᱹᱣ ᱟᱠᱟᱱ ᱱᱟᱹᱭ ᱠᱚ ᱢᱩᱫᱨᱮ ᱠᱟᱱᱟ ᱾"
"यह हिमाचल प्रदेश के गंगोत्री से शुरू होती है और इसकी लंबाई लगभग 2525 कि.मी. है, यह 15 से अधिक बड़े शहरों से बहती है।","ᱱᱚᱶᱟᱫᱚ ᱦᱤᱢᱟᱪᱚᱞ ᱯᱨᱚᱫᱮᱥ ᱨᱮᱭᱟᱜ ᱜᱟᱝᱜᱳᱛᱨᱤ ᱠᱷᱚᱱ ᱮᱛᱚᱦᱚᱵ ᱟᱠᱟᱱᱟ, ᱟᱨ ᱱᱚᱶᱟ ᱨᱮᱭᱟᱜ ᱡᱮᱞᱮᱧ ᱫᱚ ᱡᱟᱹᱱᱤᱡᱽ ᱒᱕᱒᱕ ᱠᱤᱢᱤ, ᱑᱕ ᱜᱚᱴᱟᱝ ᱠᱷᱚᱱ ᱵᱟᱹᱲᱛᱤ ᱢᱩᱲᱩᱫ ᱵᱷᱟᱨᱚᱛᱤᱭᱚ ᱥᱟᱦᱟᱨ ᱛᱟᱞᱟᱛᱮ ᱟᱹᱛᱩ ᱪᱟᱞᱟᱣ ᱟᱠᱟᱱᱟ ᱾"
"और हाँ, इसने दुनिया का सबसे बड़ा डेल्टा भी बनाया है: पश्चिम बंगाल में सुंदरवन।","ᱟᱨ ᱦᱮᱸ, ᱱᱚᱶᱟᱫᱚ ᱫᱷᱟᱹᱨᱛᱤ ᱨᱮᱭᱟᱜ ᱡᱚᱛᱚᱠᱷᱚᱱ ᱢᱟᱨᱟᱝ ᱵᱚᱼᱰᱷᱤᱯ ᱯᱚᱪᱷᱤᱢ ᱵᱟᱝᱜᱟᱞ ᱨᱮᱭᱟᱜ ᱥᱩᱱᱫᱚᱨᱵᱚᱱᱨᱮ ᱵᱮᱱᱟᱣ ᱟᱠᱟᱱᱟ ᱾"
तुम्हें इंडस के बारे में याद है?,ᱥᱤᱱᱫᱷᱩ ᱨᱮᱭᱟᱜ ᱠᱟᱛᱷᱟᱢ ᱩᱭᱦᱟᱹᱨ ᱮᱫᱟ ?
"इस नदी ने सबसे बड़ी प्राचीन मानव सभ्यता, सिंधु घाटी सभ्यता को बनाया है और इसका बहुत बड़ा ऐतिहासिक महत्व है।","ᱱᱚᱶᱟ ᱱᱟᱹᱭ ᱫᱚ ᱢᱟᱨᱟᱝ ᱩᱛᱟᱹᱨᱟᱱ ᱥᱮᱫᱟᱭ ᱢᱟᱹᱱᱢᱤ ᱥᱚᱥᱱᱚᱜ, ᱥᱤᱱᱫᱷᱩ ᱥᱚᱥᱱᱚᱜ ᱮ ᱡᱟᱱᱟᱢ ᱟᱠᱟᱫᱟ ᱟᱨ ᱢᱤᱫ ᱢᱟᱨᱟᱝ ᱱᱟᱜᱟᱢᱤᱭᱟᱹ ᱜᱚᱱᱚᱝ ᱮ ᱦᱟᱛᱟᱣ ᱟᱠᱟᱫᱟ ᱾"
"हाँ, और आपने कहा था कि इसे सिंधु भी कहते हैं।","ᱦᱮᱸ, ᱟᱢᱮᱢ ᱞᱟᱹᱭ ᱟᱠᱟᱫ ᱱᱚᱶᱟᱦᱚᱸ ᱥᱤᱱᱫᱷᱩ ᱠᱚ ᱢᱮᱱᱟ ᱾"
"यह चीन, पाकिस्तान और भारत से भी हो कर बहती है।","ᱱᱚᱶᱟᱫᱚ ᱪᱤᱱ, ᱯᱟᱠᱤᱥᱛᱟᱱ, ᱥᱟᱶ ᱥᱟᱶᱛᱮ ᱵᱷᱟᱨᱚᱛ ᱫᱤᱥᱚᱢ ᱛᱟᱞᱟ ᱛᱮᱦᱚᱸ ᱟᱹᱛᱩ ᱟᱠᱟᱱᱟ ᱾"
"भारत में इसका केवल पाँच फ़ीसदी हिस्सा है, इसके बावजूद यह सभ्यता के साथ-साथ अर्थव्यवस्था की दृष्टि से सबसे महत्वपूर्ण नदियों में से एक है।","ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱢᱚᱬᱮ ᱥᱟᱭᱦᱤᱥ ᱦᱤᱸᱥ ᱢᱮᱱᱟᱜ ᱛᱟᱭᱟ, ᱮᱱᱛᱮᱦᱚᱸ ᱥᱚᱥᱱᱚᱜ ᱥᱟᱶ ᱥᱟᱶᱛᱮ ᱠᱟᱹᱣᱰᱤᱟᱹᱨᱤ ᱥᱮᱪ ᱛᱮᱦᱚᱸ ᱱᱚᱶᱟᱫᱚ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ ᱱᱟᱹᱭ ᱠᱟᱱᱟ ᱾"
"मैम, आपने इंडिया और इंडस के संबंध के बारे में भी कुछ बताया था; क्या आप उस हिस्से को दोहरा सकती हैं?","ᱢᱟᱪᱮᱛᱟᱱᱤ, ᱟᱢ ᱵᱷᱟᱨᱚᱛ ᱟᱨ ᱥᱤᱱᱫᱷᱩ ᱟᱹᱲᱟᱹ ᱨᱮᱭᱟᱜ ᱡᱚᱯᱲᱟᱣ ᱵᱟᱨᱮᱛᱮ ᱠᱤᱪᱷᱤᱢ ᱞᱟᱹᱭ ᱞᱮᱫᱟ ; ᱟᱢ ᱪᱮᱫ ᱚᱱᱟ ᱫᱚᱲᱦᱟᱛᱮᱢ ᱞᱟᱹᱭᱟ ?"
उत्तर-पश्चिमी भारत से पाकिस्तान की ओर जाने वाले इंडस जलमार्ग का नाम संस्कृत के सिंधु से आया है।,ᱩᱛᱟᱹᱨᱼᱯᱚᱪᱷᱤᱢ ᱵᱦᱟᱨᱚᱛ ᱛᱟᱞᱟᱛᱮ ᱯᱟᱠᱤᱥᱛᱟᱱ ᱪᱟᱞᱟᱣ ᱟᱠᱟᱱ ᱥᱤᱱᱫᱷᱩ ᱫᱟᱜ ᱰᱟᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱧᱩᱛᱩᱢ ᱥᱚᱝᱥᱠᱨᱤᱛ ᱟᱹᱲᱟᱹ ᱥᱤᱱᱫᱷᱩ ᱠᱷᱚᱱ ᱦᱮᱡᱽ ᱟᱠᱟᱱᱟ
"फ़ारसी लोगों ने इंडस जलमार्ग के आस-पास की भूमि को हिंदू कहा, जो संस्कृत के सिंधु का गलत रूप है और इस तरह इंडिया नाम इंडस से आया।","ᱯᱟᱨᱚᱥᱥᱚ ᱠᱚᱫᱚ ᱥᱤᱱᱫᱦᱩ ᱫᱟᱜ ᱰᱟᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱟᱰᱮᱯᱟᱥᱮ ᱨᱮᱭᱟᱜ ᱡᱩᱢᱤᱠᱚ ᱦᱤᱱᱫᱩ ᱞᱮᱠᱟᱛᱮᱠᱚ ᱵᱚᱨᱟᱫᱽ ᱞᱮᱫᱟ, ᱥᱚᱝᱥᱠᱨᱤᱛ ᱫᱚ ᱥᱤᱱᱫᱷᱩ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱦᱤᱲᱤᱡᱽ ᱟᱨ ᱚᱱᱟᱛᱮ ᱥᱤᱱᱫᱷᱩ ᱠᱷᱚᱱ ᱵᱦᱟᱨᱚᱛ ᱧᱩᱛᱩᱢ ᱫᱚ ᱦᱮᱡᱽ ᱟᱠᱟᱱᱟ ᱾"
"ओह, हाँ, आपने हमें यह सब सिखाया था, धन्यवाद।","ᱳᱦ,ᱴᱷᱤᱠ ᱜᱮᱭᱟ, ᱟᱢ ᱱᱚᱶᱟᱠᱚ ᱟᱞᱮᱢ ᱪᱮᱫ ᱟᱠᱟᱫ ᱞᱮᱭᱟ, ᱟᱢ ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ ᱾"
क्या आपको याद है कि हम कुछ समय पहले भारत की सबसे बड़ी नदी ब्रह्मपुत्र के बारे में चर्चा कर रहे थे?,ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱡᱚᱛᱚᱠᱷᱚᱱ ᱢᱟᱨᱟᱝ ᱱᱟᱹᱭ ᱵᱨᱚᱢᱢᱚᱯᱩᱛᱨᱚ ᱱᱟᱹᱭ ᱤᱫᱤ ᱠᱟᱛᱜ ᱟᱵᱳ ᱡᱟᱦᱟᱸᱵᱚᱱ ᱜᱟᱞᱚᱪ ᱞᱮᱫᱟ ᱚᱱᱟ ᱪᱮᱫ ᱫᱤᱥᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ?
यह कहाँ से शुरू होती है और वहाँ उसका अलग नाम कैसे है?,ᱚᱠᱟ ᱠᱷᱚᱱ ᱮᱛᱚᱦᱚᱵ ᱟᱠᱟᱱᱟ ᱟᱨ ᱚᱸᱰᱮ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱵᱷᱤᱱᱟᱹ ᱧᱩᱛᱩᱢᱚᱜ ᱠᱟᱱᱟ ?
यह कैलाश पर्वत के पास आंग्सी हिमनद से शुरू होती है और इसे यारलुंग त्संगपो भी कहा जाता है।,ᱱᱚᱶᱟᱫᱚ ᱠᱳᱭᱞᱟᱥ ᱨᱟᱛᱟᱝᱵᱩᱨᱩ ᱥᱩᱨ ᱨᱮ ᱟᱝᱥᱤ ᱦᱤᱢᱚᱵᱟᱦᱚ ᱠᱷᱚᱱ ᱥᱤᱨᱡᱟᱹᱣ ᱟᱠᱟᱱᱟ ᱟᱨ ᱱᱚᱶᱟᱫᱚ ᱤᱭᱟᱨᱞᱩᱝ ᱥᱟᱝᱯᱳᱣ ᱠᱚ ᱢᱮᱛᱟᱜᱼᱟ ᱾
इसके डेल्टा पर 13 करोड़ लोग रहते हैं और 6 लाख लोग नदी के पाने से घिरे द्वीप पर रहते हैं।,"ᱱᱚᱶᱟ ᱨᱮᱭᱟᱜ ᱵᱚᱼᱰᱷᱤᱯᱨᱮ ᱑᱓᱐ ᱢᱤᱞᱤᱭᱚᱱ ᱦᱚᱲ ᱟᱨ ᱖,᱐᱐,᱐᱐᱐ ᱦᱚᱲ ᱱᱟᱹᱭ ᱨᱮᱭᱟᱜ ᱰᱷᱤᱯ ᱨᱮᱠᱚ ᱛᱟᱦᱮᱱᱟ ᱾"
"लेकिन मैम, गंगा और ब्रह्मपुत्र दोनों ही सबसे बड़ी भारतीय नदियाँ कैसे हो सकती हैं?","ᱢᱮᱱᱠᱦᱟᱱ ᱢᱟᱪᱮᱛᱟᱱᱤ, ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱜᱟᱝᱜᱟ ᱟᱨ ᱵᱨᱚᱢᱢᱚᱯᱩᱛᱨᱚ ᱱᱟᱹᱭᱠᱤᱱ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱢᱟᱨᱟᱝ ᱩᱛᱟᱹᱨᱟᱱ ᱱᱟᱹᱭ ᱦᱩᱭ ᱰᱟᱲᱮᱭᱟᱜᱼᱟ ?"
ब्रह्मपुत्र साफ तौर पर गंगा से अधिक लंबी है।,ᱵᱨᱚᱢᱢᱚᱯᱩᱛᱨᱚ ᱫᱚ ᱮᱠᱟᱞᱜᱮ ᱡᱮᱞᱮᱧ ᱜᱮᱭᱟ ᱾
गंगा सबसे लंबी है जबकि ब्रह्मपुत्र अपने जलप्रवाह के कारण सबसे बड़ी है।,ᱜᱟᱝᱜᱟ ᱜᱮ ᱡᱮᱞᱮᱧᱟ ᱡᱟᱦᱟᱸᱨᱮ ᱵᱨᱚᱢᱢᱚᱯᱩᱛᱨᱚ ᱟᱡᱟᱜ ᱞᱤᱜᱤᱱ ᱫᱟᱜ ᱥᱮᱡᱽᱛᱮᱭ ᱢᱟᱨᱟᱝ ᱜᱮᱭᱟ ᱾
गंगा के बाद गोदावरी दूसरी सबसे लंबी है और दक्षिण भारत की सबसे लंबी नदी है जिसे 'दक्षिण गंगा' भी कहा जाता है।,ᱜᱳᱫᱟᱵᱚᱨᱤ ᱜᱟᱝᱜᱟ ᱛᱟᱭᱚᱢ ᱫᱚᱥᱟᱨ ᱡᱮᱞᱮᱧᱟᱱ ᱱᱟᱹᱭ ᱠᱟᱱᱟ ᱟᱨ ᱰᱟᱹᱠᱷᱤᱱ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱡᱮᱞᱮᱧᱟᱱ ᱱᱟᱹᱭ ᱡᱟᱦᱟᱸᱫᱚ 'ᱫᱟᱹᱠᱷᱤᱱ ᱜᱟᱝᱜᱟ' ᱧᱩᱛᱩᱢ ᱛᱮᱦᱚᱸ ᱵᱟᱰᱟᱭᱚᱜᱼᱟ ᱾
यह नदी कई हज़ारों वर्षों से हिंदू धर्मग्रंथों में बहुत पूजनीय मानी जाती रही है और एक समृद्ध सांस्कृतिक विरासत को आश्रय और पोषण देती रही है।,ᱱᱟᱹᱭ ᱫᱚ ᱟᱭᱢᱟ ᱜᱮᱥᱟᱼᱥᱟᱥᱟᱭ ᱦᱟᱹᱵᱤᱡᱽ ᱦᱤᱱᱫᱩ ᱫᱷᱚᱨᱚᱢ ᱯᱩᱛᱷᱤᱨᱮ ᱢᱟᱹᱱ ᱟᱠᱟᱱᱟ ᱟᱨ ᱢᱤᱫ ᱯᱮᱨᱮᱡᱽ ᱯᱩᱨᱩᱱ ᱞᱟᱠᱪᱟᱨᱟᱱᱜ ᱥᱮᱨᱣᱟᱭ ᱢᱟᱱᱟᱣ ᱤᱫᱤᱭᱮᱫᱟ ᱾
"और कृष्ण- गोदावरी बेसिन, विलुप्त होने की कगार पर पहुँच चुके ओलिव रिडले कछुओं के अंडे देने की प्रमुख जगहों में से एक है।",ᱟᱨ ᱠᱨᱤᱥᱱᱚᱼᱜᱳᱫᱟᱵᱚᱨᱤ ᱚᱵᱚᱵᱟᱦᱤᱠᱟ ᱢᱮᱴᱟᱣ ᱟᱠᱟᱱ ᱚᱞᱤᱵᱷ ᱨᱤᱰᱞᱤ ᱦᱚᱨᱚ ᱠᱚᱣᱟᱜ ᱢᱩᱲᱩᱫ ᱛᱟᱦᱮᱸᱱ ᱴᱷᱟᱶ ᱠᱚ ᱢᱩᱫᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱠᱟᱱᱟ ᱾
बिल्कुल यह तो है।,ᱮᱠᱟᱞ ᱜᱮ ᱱᱚᱶᱟᱫᱚ ᱾
मैं यह देखकर बहुत खुश हूँ कि आपको नदियों के बारे में अच्छे से जानकारी है।,ᱤᱧᱫᱚ ᱥᱟᱹᱨᱤᱜᱮᱧ ᱠᱩᱥᱤ ᱟᱠᱟᱱᱟ ᱡᱮ ᱟᱢᱟᱜ ᱱᱟᱹᱭ ᱤᱫᱤᱠᱟᱛᱮᱜ ᱵᱤᱪᱷᱱᱟᱹᱣᱛᱮ ᱢᱤᱫ ᱱᱟᱯᱟᱭ ᱩᱭᱦᱟᱹᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱾
"धन्यवाद, मैम, आपने हमें पिछली क्लास में बहुत कुछ पढ़ाया था।","ᱥᱟᱨᱦᱟᱣ ᱜᱮ, ᱢᱟᱪᱮᱛᱟᱱᱤ, ᱞᱟᱦᱟ ᱠᱞᱟᱥ ᱨᱮᱭᱟᱜ ᱟᱢ ᱟᱢᱮᱜᱮᱢ ᱥᱮᱸᱲᱟ ᱟᱠᱟᱫ ᱞᱮᱭᱟ ᱾"
और हम अगली क्लास में और जानेंगे।,ᱟᱨ ᱛᱟᱭᱚᱢᱟᱜ ᱨᱮ ᱟᱨᱦᱚᱱᱞᱮ ᱪᱮᱫᱼᱟ ᱾
"टाइम हो गया! कल मिलेंगे, बच्चो!","ᱚᱠᱛᱚ ᱦᱩᱭ ᱟᱠᱟᱱᱟ ! ᱜᱟᱯᱟ ᱧᱟᱯᱟᱢ ᱦᱩᱭᱩᱜᱼᱟ ᱜᱤᱰᱨᱟᱹ, ᱜᱤᱫᱨᱟᱹ ᱠᱚ !"
"हैलो, तुम कुछ परेशान दिख रही हो, क्या हुआ?","ᱦᱮᱞᱳ, ᱟᱢ ᱟᱹᱰᱤ ᱵᱷᱟᱵᱱᱟᱢ ᱧᱮᱞᱚᱜ ᱠᱟᱱᱟ, ᱪᱮᱫ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ?"
"हाँ, मैं कई घंटों से ओडिशा चक्रवात की खबरें देख रही हूँ।","ᱦᱮᱸ, ᱤᱧ ᱠᱟᱹᱪ ᱴᱟᱲᱟᱝ ᱠᱷᱚᱱ ᱳᱰᱤᱥᱥᱟ ᱦᱚᱭᱵᱷᱟᱨᱰᱳ ᱨᱮᱭᱟᱜ ᱟᱯᱰᱮᱴ ᱤᱧ ᱧᱮᱞ ᱮᱫᱟ ᱾"
ये चक्रवात का दूसरा दिन है और पूरा शहर तहस नहस हो गया है।,"ᱱᱚᱶᱟ ᱫᱚ ᱦᱚᱭᱵᱷᱟᱨᱰᱳ ᱨᱮᱭᱟᱜ ᱫᱚᱥᱟᱨ ᱢᱟᱦᱟ, ᱟᱨ ᱜᱚᱴᱟ ᱥᱟᱦᱟᱨ ᱫᱚ ᱛᱟᱜᱟᱲ ᱱᱟᱪᱟᱲ ᱦᱟᱞᱚᱛ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾"
रोज़मर्रा की चीज़ों के लिए भी बाहर जाना मुश्किल हो गया है।,ᱢᱩᱞᱟᱹᱱ ᱥᱩᱵᱤᱫᱷᱟ ᱞᱟᱹᱜᱤᱫ ᱵᱟᱨᱦᱮ ᱪᱟᱞᱟᱜ ᱫᱚ ᱟᱸᱡᱷᱟᱴ ᱜᱮᱭᱟ ᱾
"ये तोअच्छा है कि हमारे मोहल्ले में अभी भी लाइट है, ज़्यादातर इलाकों में लाइट नहीं है।","ᱢᱚᱞᱚᱝᱟᱱᱟᱜ ᱞᱮᱠᱟᱛᱮ ᱟᱯᱮᱭᱟᱜ ᱴᱚᱴᱷᱟ ᱨᱮ ᱱᱮᱛᱚᱜ ᱦᱚᱸ ᱵᱤᱡᱽᱞᱤ ᱢᱮᱱᱟᱜᱼᱟ, ᱟᱹᱰᱤᱜᱟᱱ ᱴᱚᱴᱷᱟ ᱨᱮ ᱵᱤᱡᱽᱞᱤ ᱵᱟᱹᱱᱩᱜᱼᱟ ᱾"
"मुझे यह सुनकर बहुत दुख हुआ, मुझे उम्मीद है कि तुम और तुम्हारा परिवार सुरक्षित हैं।","ᱤᱧ ᱱᱚᱶᱟ ᱟᱸᱡᱚᱢ ᱠᱟᱛᱮ ᱟᱹᱰᱤ ᱵᱷᱟᱵᱱᱟᱧ ᱟᱹᱭᱠᱟᱹᱣ ᱮᱫᱟ, ᱤᱧ ᱟᱥᱟᱭᱮᱫᱟ ᱟᱢᱨᱮᱱ ᱜᱷᱟᱨᱚᱸᱡᱤᱭᱟᱹ ᱟᱨ ᱟᱢ ᱱᱤᱨᱟᱹᱭ ᱨᱮ ᱢᱮᱱᱟᱢᱟ ᱾"
क्या तुम्हें कुछ अंदाज़ा है कि यह कब तक चलेगा?,ᱟᱢᱟᱜ ᱪᱮᱫ ᱡᱟᱦᱟᱸᱱ ᱟᱹᱱᱟᱹᱭᱠᱟᱹᱣ ᱢᱮᱱᱟᱜᱼᱟ ᱛᱤᱱᱜᱷᱟᱹᱲᱤ ᱱᱚᱶᱟ ᱪᱟᱞᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ?
मौसम की भविष्यवाणी और हाल की रिपोर्ट के हिसाब से यह लगभग 3 दिन चलेगा।,"ᱟᱜᱟᱢ ᱵᱟᱰᱟᱭᱟᱱ ᱦᱚᱭᱦᱤᱥᱤᱫ ᱨᱮᱭᱟᱜ ᱟᱜᱟᱢ ᱵᱟᱰᱟᱭ ᱟᱨ ᱢᱩᱪᱟᱹᱫ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱞᱮᱠᱟᱛᱮ, ᱱᱚᱶᱟ ᱟᱭᱩᱢᱟᱹᱱ ᱞᱮᱠᱟᱛᱮ ᱓ ᱢᱟᱦᱟ ᱞᱟᱹᱜᱤᱫ ᱪᱟᱞᱩ ᱛᱟᱦᱮᱸᱱᱟ ᱾"
लेकिन मुझे इसके परिणामों की ज़्यादा चिंता है।,ᱢᱮᱱᱠᱷᱟᱱ ᱱᱚᱶᱟ ᱦᱟᱞᱚᱛ ᱱᱤᱭᱟᱹᱛᱮ ᱤᱧ ᱟᱹᱰᱤᱧ ᱩᱭᱦᱟᱹᱨᱚᱜ ᱠᱟᱱᱟ ᱾
